15:36:44	tcp-syn	-	10.0.2.3:853	os-noise
15:36:44	tcp-syn	-	2a04:4e42:600::347:443	app-or-unknown
15:36:44	tcp-syn	-	2a04:4e42:200::347:443	app-or-unknown
15:36:44	tcp-syn	-	151.101.129.91:443	app-or-unknown
15:36:44	sni	firefox.settings.services.mozilla.com	151.101.129.91:443	app-or-unknown
15:36:44	tcp-syn	-	2a04:4e42:200::347:443	app-or-unknown
15:36:44	tcp-syn	-	2a04:4e42:600::347:443	app-or-unknown
15:36:44	tcp-syn	-	151.101.129.91:443	app-or-unknown
15:36:44	sni	firefox-settings-attachments.cdn.mozilla.net	151.101.129.91:443	app-or-unknown
15:36:44	tcp-syn	-	2600:1901:0:8d82:::443	app-or-unknown
15:36:44	tcp-syn	-	34.149.226.178:443	app-or-unknown
15:36:44	sni	content-signature-2.cdn.mozilla.net	34.149.226.178:443	app-or-unknown
