15:19:54	tcp-syn	-	10.0.2.3:853	os-noise
15:19:54	tcp-syn	-	2a04:4e42:600::347:443	app-or-unknown
15:19:54	tcp-syn	-	2a04:4e42:200::347:443	app-or-unknown
15:19:54	tcp-syn	-	151.101.129.91:443	app-or-unknown
15:19:54	sni	firefox.settings.services.mozilla.com	151.101.129.91:443	app-or-unknown
15:19:55	tcp-syn	-	2a04:4e42:600::347:443	app-or-unknown
15:19:55	tcp-syn	-	2a04:4e42:200::347:443	app-or-unknown
15:19:55	tcp-syn	-	151.101.1.91:443	app-or-unknown
15:19:55	sni	firefox-settings-attachments.cdn.mozilla.net	151.101.1.91:443	app-or-unknown
15:19:55	tcp-syn	-	2600:1901:0:8d82:::443	app-or-unknown
15:19:55	tcp-syn	-	34.149.226.178:443	app-or-unknown
15:19:55	sni	content-signature-2.cdn.mozilla.net	34.149.226.178:443	app-or-unknown
15:20:24	tcp-syn	-	2a04:4e42::347:443	app-or-unknown
15:20:24	tcp-syn	-	151.101.129.91:443	app-or-unknown
15:20:24	sni	firefox.settings.services.mozilla.com	151.101.129.91:443	app-or-unknown
