# librewolf-android-smoke pref-dump v1
# name	type	value	locked	user
app.shield.optoutstudies.enabled	bool	false	locked	-
app.update.auto	bool	false	locked	-
browser.contentblocking.category	string	strict	locked	-
browser.safebrowsing.downloads.remote.enabled	bool	false	-	user
browser.safebrowsing.malware.enabled	bool	false	-	-
browser.safebrowsing.phishing.enabled	bool	false	-	-
browser.safebrowsing.provider.google4.gethashURL	string		-	-
browser.safebrowsing.provider.google4.updateURL	string		-	-
browser.search.suggest.enabled	bool	false	-	-
browser.search.update	bool	false	-	-
datareporting.healthreport.uploadEnabled	bool	false	locked	-
datareporting.policy.dataSubmissionEnabled	bool	false	locked	-
devtools.debugger.remote-enabled	bool	false	locked	-
doh-rollout.enabled	bool	false	-	-
dom.security.https_only_mode	bool	true	-	-
extensions.blocklist.enabled	bool	true	-	-
extensions.getAddons.showPane	bool	false	-	-
extensions.webextensions.restrictedDomains	string		-	-
fission.autostart	bool	true	-	-
fission.webContentIsolationStrategy	int	2	-	-
geo.enabled	bool	true	-	-
librewolf.cfg.version	string	8.6	locked	-
librewolf.webgl.prompt	bool	false	-	-
librewolf.webgl.prompt.hide	bool	true	-	-
media.eme.enabled	bool	false	-	-
media.gmp-gmpopenh264.enabled	bool	false	-	-
media.peerconnection.enabled	bool	true	-	-
media.peerconnection.ice.default_address_only	bool	false	-	-
network.cookie.cookieBehavior	int	5	-	-
network.dns.disablePrefetch	bool	true	-	-
network.http.speculative-parallel-limit	int	0	-	user
network.lna.block_trackers	bool	true	locked	-
network.predictor.enabled	missing		-	-
network.prefetch-next	bool	false	-	user
network.trr.mode	int	5	-	-
network.trr.uri	string	https://dns10.quad9.net/dns-query	-	-
privacy.donottrackheader.enabled	bool	false	-	-
privacy.fingerprintingProtection	bool	false	-	-
privacy.fingerprintingProtection.pbmode	bool	true	-	-
privacy.globalprivacycontrol.enabled	bool	true	-	-
privacy.partition.network_state	missing		-	-
privacy.query_stripping.enabled	bool	false	-	-
privacy.resistFingerprinting	bool	true	-	-
privacy.resistFingerprinting.pbmode	bool	false	-	-
privacy.trackingprotection.cryptomining.enabled	bool	true	-	-
privacy.trackingprotection.enabled	bool	false	-	-
privacy.trackingprotection.fingerprinting.enabled	bool	true	-	-
security.OCSP.require	bool	false	-	-
security.enterprise_roots.enabled	bool	false	-	-
security.remote_settings.crlite_filters.enabled	bool	true	-	-
security.ssl.require_safe_negotiation	bool	true	-	-
services.settings.server	missing		-	-
toolkit.telemetry.archive.enabled	bool	false	locked	-
toolkit.telemetry.enabled	bool	false	locked	-
toolkit.telemetry.server	string	data:,	locked	-
toolkit.telemetry.unified	bool	false	locked	-
webgl.disabled	bool	false	-	-
xpinstall.signatures.required	bool	true	-	-
